# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/Ni/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 42.33549420022785
# strain stress
1.7071104412e-01 1.0165174193e+01
1.7188234071e-01 1.0381846267e+01
1.7305480919e-01 1.0520935618e+01
1.7422845072e-01 1.0618793296e+01
1.7540326648e-01 1.1055171078e+01
1.7657925765e-01 1.1142639112e+01
1.7775642539e-01 1.1313391147e+01
1.7893477089e-01 1.1563710221e+01
1.8011429533e-01 1.1676143041e+01
1.8129499988e-01 1.1986952561e+01
1.8247688572e-01 1.1976944283e+01
1.8365995404e-01 1.2114752296e+01
1.8484420602e-01 1.2312450150e+01
1.8602964285e-01 1.2433913510e+01
1.8721626570e-01 1.2666228379e+01
1.8840407578e-01 1.2990700959e+01
1.8959307425e-01 1.3091851519e+01
1.9078326232e-01 1.3286166554e+01
1.9197464117e-01 1.3255946224e+01
1.9316721200e-01 1.3489061996e+01
1.9436097600e-01 1.3741456914e+01
1.9555593435e-01 1.3841381426e+01
1.9675208826e-01 1.3873086779e+01
1.9794943893e-01 1.4065377310e+01
1.9914798754e-01 1.4417663054e+01
2.0034773530e-01 1.4542118229e+01
2.0154868341e-01 1.4537807973e+01
2.0275083307e-01 1.4709527908e+01
2.0395418548e-01 1.4617574836e+01
2.0515874184e-01 1.4672048224e+01
2.0636450336e-01 1.4323686462e+01
2.0757147125e-01 1.1861085554e+01
2.0877964671e-01 7.4195130722e+00
2.0998903095e-01 8.1041623447e+00
2.1119962517e-01 8.3792524728e+00
2.1241143060e-01 8.0196467665e+00
2.1362444844e-01 8.5499406279e+00
2.1483867990e-01 8.6060128392e+00
2.1605412620e-01 9.0895371761e+00
2.1727078856e-01 9.1385196952e+00
2.1848866819e-01 9.3475299506e+00
2.1970776630e-01 9.4284871819e+00
2.2092808412e-01 9.4759263185e+00
2.2214962288e-01 9.8553760638e+00
