# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
71 4.23 0.550109 15.5
72 4.29 0.639697 15.9766
73 4.35 0.520177 16.375
74 4.41 0.744292 16.9609
75 4.47 0.965928 17.7422
76 4.53 0.949915 18.5312
77 4.59 0.99853 19.3828
78 4.65 1.09789 20.3438
79 4.71 0.922199 21.1719
80 4.77 1.17058 22.25
81 4.83 1.26578 23.4453
82 4.89 1.08155 24.4922
83 4.95 1.16577 25.6484
84 5.01 1.37638 27.0469
85 5.07 1.44161 28.5469
86 5.13 1.32008 29.9531
87 5.19 1.21091 31.2734
88 5.25 1.10637 32.5078
89 5.31 1.27317 33.9609
90 5.37 1.18464 35.3438
91 5.43 1.23715 36.8203
92 5.49 1.24868 38.3438
93 5.55 0.996261 39.5859
94 5.61 1.12838 41.0234
95 5.67 1.12864 42.4922
96 5.73 0.946409 43.75
97 5.79 1.09385 45.2344
98 5.85 1.15612 46.8359
99 5.91 0.856484 48.0469
100 5.97 0.904337 49.3516
1000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.0419516 0.0078125
37 2.19 0.238107 0.0546875
38 2.25 0.338367 0.125
39 2.31 0.392356 0.210938
40 2.37 0.7116 0.375
41 2.43 1.19262 0.664062
42 2.49 1.35073 1.00781
43 2.55 1.405 1.38281
44 2.61 1.6485 1.84375
45 2.67 1.97573 2.42188
46 2.73 2.45169 3.17188
47 2.79 2.22512 3.88281
48 2.85 2.22615 4.625
49 2.91 2.47245 5.48438
50 2.97 1.87727 6.16406
51 3.03 1.84513 6.85938
52 3.09 1.97352 7.63281
53 3.15 1.57295 8.27344
54 3.21 1.68095 8.98438
55 3.27 1.56643 9.67188
56 3.33 1.01272 10.1328
57 3.39 0.761874 10.4922
58 3.45 0.863537 10.9141
59 3.51 0.75702 11.2969
60 3.57 0.642182 11.6328
61 3.63 0.780022 12.0547
62 3.69 0.545178 12.3594
63 3.75 0.446661 12.6172
64 3.81 0.603164 12.9766
65 3.87 0.54648 13.3125
66 3.93 0.517597 13.6406
67 3.99 0.406501 13.9062
68 4.05 0.580214 14.2969
69 4.11 0.563397 14.6875
70 4.17 0.711492 15.1953
71 4.23 0.574436 15.6172
72 4.29 0.661903 16.1172
73 4.35 0.82483 16.7578
74 4.41 0.597011 17.2344
75 4.47 0.847822 17.9297
76 4.53 0.983194 18.7578
77 4.59 1.03897 19.6562
78 4.65 1.03874 20.5781
79 4.71 1.20978 21.6797
80 4.77 1.10425 22.7109
81 4.83 1.06067 23.7266
82 4.89 1.41688 25.1172
83 4.95 1.28175 26.4062
84 5.01 1.2209 27.6641
85 5.07 1.19958 28.9297
86 5.13 1.23678 30.2656
87 5.19 1.31435 31.7188
88 5.25 1.16708 33.0391
89 5.31 1.19486 34.4219
90 5.37 1.1155 35.7422
91 5.43 1.17491 37.1641
92 5.49 1.13042 38.5625
93 5.55 1.00106 39.8281
94 5.61 1.10072 41.25
95 5.67 1.1782 42.8047
96 5.73 1.10148 44.2891
97 5.79 1.11851 45.8281
98 5.85 0.990013 47.2188
99 5.91 0.959114 48.5938
100 5.97 1.0681 50.1562
1200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.201271 0.0390625
38 2.25 0.152544 0.0703125
39 2.31 0.217085 0.117188
40 2.37 0.515582 0.234375
41 2.43 0.784699 0.421875
42 2.49 1.40126 0.773438
43 2.55 1.57363 1.1875
44 2.61 1.67216 1.64844
45 2.67 2.38324 2.33594
46 2.73 2.46098 3.07812
47 2.79 2.57949 3.89062
48 2.85 2.44826 4.69531
49 2.91 2.00636 5.38281
50 2.97 2.07933 6.125
51 3.03 1.82956 6.80469
52 3.09 2.00185 7.57812
53 3.15 1.7512 8.28125
54 3.21 1.6114 8.95312
55 3.27 1.13752 9.44531
56 3.33 1.18395 9.97656
57 3.39 0.940814 10.4141
58 3.45 0.875933 10.8359
59 3.51 1.00296 11.3359
60 3.57 0.605954 11.6484
61 3.63 0.586089 11.9609
62 3.69 0.482107 12.2266
63 3.75 0.480532 12.5
64 3.81 0.292611 12.6719
65 3.87 0.541434 13
66 3.93 0.462524 13.2891
67 3.99 0.485101 13.6016
68 4.05 0.647398 14.0312
69 4.11 0.537196 14.3984
70 4.17 0.521849 14.7656
71 4.23 0.75533 15.3125
72 4.29 0.723859 15.8516
73 4.35 0.704028 16.3906
74 4.41 0.704857 16.9453
75 4.47 0.840667 17.625
76 4.53 1.04435 18.4922
77 4.59 1.03556 19.375
78 4.65 1.06258 20.3047
79 4.71 1.0879 21.2812
80 4.77 1.2389 22.4219
81 4.83 1.06762 23.4297
82 4.89 1.12232 24.5156
83 4.95 1.22924 25.7344
84 5.01 1.11536 26.8672
85 5.07 1.2168 28.1328
86 5.13 1.51131 29.7422
87 5.19 1.26154 31.1172
88 5.25 1.26789 32.5312
89 5.31 1.1093 33.7969
90 5.37 1.07795 35.0547
91 5.43 1.34893 36.6641
92 5.49 1.24914 38.1875
93 5.55 1.25989 39.7578
94 5.61 1.06745 41.1172
95 5.67 0.990924 42.4062
96 5.73 1.05261 43.8047
97 5.79 0.99059 45.1484
98 5.85 1.06628 46.625
99 5.91 0.939716 47.9531
100 5.97 0.958843 49.3359
1400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
