# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
79 4.71 1.24668 20.9531
80 4.77 1.2069 22.0469
81 4.83 1.11824 23.0859
82 4.89 1.173 24.2031
83 4.95 1.13673 25.3125
84 5.01 1.27377 26.5859
85 5.07 1.22854 27.8438
86 5.13 1.24469 29.1484
87 5.19 1.31803 30.5625
88 5.25 1.345 32.0391
89 5.31 1.19652 33.3828
90 5.37 1.20394 34.7656
91 5.43 1.19744 36.1719
92 5.49 1.06728 37.4531
93 5.55 1.17169 38.8906
94 5.61 1.17792 40.3672
95 5.67 1.08601 41.7578
96 5.73 0.931958 42.9766
97 5.79 1.07657 44.4141
98 5.85 0.997283 45.7734
99 5.91 1.00522 47.1719
100 5.97 0.88605 48.4297
1400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.040945 0.0078125
38 2.25 0.232743 0.0546875
39 2.31 0.147207 0.0859375
40 2.37 0.874051 0.28125
41 2.43 0.698395 0.445312
42 2.49 0.665145 0.609375
43 2.55 1.69124 1.04688
44 2.61 1.67203 1.5
45 2.67 2.17622 2.11719
46 2.73 2.39781 2.82812
47 2.79 2.37148 3.5625
48 2.85 2.39357 4.33594
49 2.91 2.08717 5.03906
50 2.97 2.20406 5.8125
51 3.03 2.05347 6.5625
52 3.09 1.66599 7.19531
53 3.15 2.03854 8
54 3.21 1.61999 8.66406
55 3.27 1.48763 9.29688
56 3.33 1.46992 9.94531
57 3.39 1.12785 10.4609
58 3.45 0.725973 10.8047
59 3.51 0.876707 11.2344
60 3.57 0.708807 11.5938
61 3.63 0.56634 11.8906
62 3.69 0.53365 12.1797
63 3.75 0.446884 12.4297
64 3.81 0.554679 12.75
65 3.87 0.629401 13.125
66 3.93 0.457747 13.4062
