# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
69 4.11 0.772483 15.9219
70 4.17 0.808138 16.5781
71 4.23 0.710577 17.1719
72 4.29 0.8181 17.875
73 4.35 1.09628 18.8438
74 4.41 1.05805 19.8047
75 4.47 1.13868 20.8672
76 4.53 1.15763 21.9766
77 4.59 1.11963 23.0781
78 4.65 1.19924 24.2891
79 4.71 1.16888 25.5
80 4.77 1.1029 26.6719
81 4.83 1.44139 28.2422
82 4.89 1.42723 29.8359
83 4.95 1.04463 31.0312
84 5.01 1.20638 32.4453
85 5.07 1.30165 34.0078
86 5.13 1.2396 35.5312
87 5.19 1.15521 36.9844
88 5.25 1.18358 38.5078
89 5.31 1.24598 40.1484
90 5.37 1.21249 41.7812
91 5.43 1.21989 43.4609
92 5.49 1.0102 44.8828
93 5.55 1.06451 46.4141
94 5.61 0.935553 47.7891
95 5.67 0.853413 49.0703
96 5.73 0.963018 50.5469
97 5.79 0.808425 51.8125
98 5.85 0.821258 53.125
99 5.91 0.962727 54.6953
100 5.97 0.788574 56.0078
1400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.0750983 0.015625
37 2.19 0.1776 0.0546875
38 2.25 0.37016 0.140625
39 2.31 0.766215 0.328125
40 2.37 1.27385 0.65625
41 2.43 1.18287 0.976562
42 2.49 2.00582 1.54688
43 2.55 1.62435 2.03125
44 2.61 2.42583 2.78906
45 2.67 2.15075 3.49219
46 2.73 2.56014 4.36719
47 2.79 2.40744 5.22656
48 2.85 2.7476 6.25
49 2.91 2.53488 7.23438
50 2.97 2.02791 8.05469
51 3.03 1.13193 8.53125
52 3.09 1.44525 9.16406
53 3.15 1.18468 9.70312
54 3.21 0.876277 10.1172
55 3.27 0.796618 10.5078
56 3.33 0.506993 10.7656
57 3.39 0.756045 11.1641
58 3.45 0.672724 11.5312
59 3.51 0.566953 11.8516
60 3.57 0.494587 12.1406
61 3.63 0.698166 12.5625
62 3.69 0.437919 12.8359
63 3.75 0.436133 13.1172
64 3.81 0.445977 13.4141
65 3.87 0.477757 13.7422
66 3.93 0.46328 14.0703
67 3.99 0.535062 14.4609
68 4.05 0.654351 14.9531
69 4.11 0.726155 15.5156
70 4.17 0.92095 16.25
71 4.23 0.875967 16.9688
72 4.29 1.12009 17.9141
73 4.35 0.882325 18.6797
74 4.41 0.98988 19.5625
75 4.47 1.12549 20.5938
76 4.53 1.23701 21.7578
77 4.59 1.09975 22.8203
78 4.65 1.06368 23.875
79 4.71 1.11355 25.0078
80 4.77 1.17556 26.2344
81 4.83 1.29259 27.6172
82 4.89 1.27532 29.0156
83 4.95 1.1542 30.3125
84 5.01 1.30319 31.8125
85 5.07 1.27253 33.3125
86 5.13 1.22352 34.7891
87 5.19 1.13847 36.1953
88 5.25 1.27948 37.8125
89 5.31 1.08155 39.2109
90 5.37 1.08706 40.6484
91 5.43 1.17295 42.2344
92 5.49 1.15311 43.8281
93 5.55 1.0011 45.2422
94 5.61 1.03393 46.7344
95 5.67 0.996267 48.2031
96 5.73 0.949568 49.6328
97 5.79 0.90458 51.0234
98 5.85 0.99564 52.5859
99 5.91 0.82432 53.9062
100 5.97 0.855635 55.3047
1600 100
1 0.03 0 0
